tmk9txt,viability_class,strict,lvpa
191015086,higher_value_development,True,2944813.665186008
191015088,higher_value_development,True,2315142.9379046876
191016008,durable,True,1371.5078461652515
191016040,,False,1481852.1468558996
191016056,durable,True,190394.87222478725
191016074,,False,1427894.7879951946
191016082,,False,1435081.6145270334
191016090,durable,True,34800.338897293754
191016126,durable,True,6869.501841256947
191016142,,False,3175519.8631776655
191016179,durable,True,71694.51603070833
191016220,,False,1116076.4650399683
191016222,durable,True,1250530.6755887626
191016223,durable,True,1328359.412194494
191016224,,False,1794965.2546664416
191016227,,False,79596.69327419711
191016230,uncertain,True,3206759.8842148907
191017094,durable,True,60762.30561902274
191017096,durable,True,90994.22347321275
191017097,durable,True,61057.55368016102
191017105,,False,1470096.8395241403
191017108,durable,True,61033.890375728835
191017109,,False,8530427.031249091
191017138,,False,8120180.182708631
191017154,durable,True,58.93433795315072
191017158,durable,True,61035.07062912943
191017159,durable,True,61033.22275452515
191017160,,False,157524.36308682492
191017161,,False,61021.90292731044
191017165,,False,1939804.8166094196
191017167,durable,True,1476.5413826089243
191017175,higher_value_development,True,1467.030044477032
191017196,higher_value_development,True,7441.751810497769
191017200,higher_value_development,True,567177.6374851979
191017204,higher_value_development,True,117784.7615225853
191017207,higher_value_development,True,7323.735517073337
191017208,higher_value_development,True,6222523.761109414
191017213,higher_value_development,True,333499.03980866726
191017233,higher_value_development,True,1628031.1884227002
191017234,higher_value_development,True,577309.8563801013
191018008,durable,True,1271.957997116617
191018009,higher_value_development,True,1020.6815639464023
191018014,durable,True,1277.3164758145629
191018022,,False,8719019.69823921
191018026,higher_value_development,True,115860.22387819734
191018028,,False,2684838.651487324
191018046,higher_value_development,True,1528912.9309850223
191018049,higher_value_development,True,1572818.1062548996
191018053,higher_value_development,True,1050.1389229749047
191018054,higher_value_development,True,987.3707466626512
191018055,higher_value_development,True,1428498.2974773822
191026004,,False,1464401.5546787677
191026028,higher_value_development,True,1011433.3480528456
191026030,,False,1082801.15492885
191026058,higher_value_development,True,1416388.9547279433
191031001,durable,True,45778.16282986132
191031003,,False,619945.5818352443
191031023,higher_value_development,True,1645282.8998458884
