step,seg_km,cum_km,cum_acres_le30,cum_acres_le15,marginal_ac_per_km,segment_wkt,smoothed_ac_per_km
73,0.566,54.532,30188.2,26635.2,173.6,"LINESTRING (610428.8109639742 2393683.0420877915, 610828.8109639742 2393283.0420877915)",173.8
74,1.107,55.639,30392.0,26822.9,184.1,"LINESTRING (598228.8109639742 2383583.0420877915, 598228.8109639742 2383883.0420877915, 598328.8109639742 2384083.0420877915, 598728.8109639742 2384483.0420877915)",185.9
75,0.5,56.139,30507.1,26933.1,230.2,"LINESTRING (598728.8109639742 2384483.0420877915, 599228.8109639742 2384483.0420877915)",213.0
76,1.083,57.222,30732.4,27146.7,208.1,"LINESTRING (599228.8109639742 2384483.0420877915, 599528.8109639742 2384483.0420877915, 599928.8109639742 2384283.0420877915, 600228.8109639742 2384283.0420877915)",218.0
77,0.641,57.863,30904.9,27308.5,268.9,"LINESTRING (600228.8109639742 2384283.0420877915, 600728.8109639742 2384283.0420877915, 600828.8109639742 2384183.0420877915)",214.3
78,1.107,58.97,31124.7,27516.5,198.6,"LINESTRING (600828.8109639742 2384183.0420877915, 601228.8109639742 2384183.0420877915, 601728.8109639742 2383683.0420877915)",196.3
79,0.6,59.57,31224.2,27609.7,165.8,"LINESTRING (600928.8109639742 2384183.0420877915, 600928.8109639742 2384783.0420877915)",182.3
80,0.524,60.094,31297.6,27647.0,139.9,"LINESTRING (607828.8109639742 2395883.0420877915, 607628.8109639742 2395983.0420877915, 607428.8109639742 2395783.0420877915)",153.0
81,0.5,60.594,31366.7,27667.1,138.2,"LINESTRING (592428.8109639742 2377083.0420877915, 591928.8109639742 2377083.0420877915)",146.3
82,1.131,61.726,31505.2,27734.0,122.4,"LINESTRING (592528.8109639742 2384483.0420877915, 591728.8109639742 2383683.0420877915)",140.3
83,0.524,62.25,31591.8,27752.8,165.2,"LINESTRING (591728.8109639742 2383683.0420877915, 591628.8109639742 2383683.0420877915, 591328.8109639742 2383383.0420877915)",139.0
84,0.583,62.833,31670.8,27830.4,135.6,"LINESTRING (597728.8109639742 2383883.0420877915, 597428.8109639742 2383883.0420877915, 597228.8109639742 2384083.0420877915)",137.7
85,0.6,63.433,31751.1,27875.1,133.8,"LINESTRING (596928.8109639742 2371183.0420877915, 596328.8109639742 2371183.0420877915)",139.1
86,0.483,63.916,31814.6,27934.4,131.4,"LINESTRING (601828.8109639742 2380183.0420877915, 601828.8109639742 2379983.0420877915, 602028.8109639742 2379783.0420877915)",131.6
87,0.566,64.481,31887.9,28006.0,129.5,"LINESTRING (599928.8109639742 2381483.0420877915, 600328.8109639742 2381883.0420877915)",128.5
88,0.741,65.223,31982.6,28076.6,127.8,"LINESTRING (603628.8109639742 2398883.0420877915, 603528.8109639742 2398783.0420877915, 603528.8109639742 2398183.0420877915)",129.1
89,1.041,66.264,32107.7,28159.5,120.2,"LINESTRING (597928.8109639742 2395283.0420877915, 598028.8109639742 2395183.0420877915, 598928.8109639742 2395183.0420877915)",127.7
90,0.524,66.788,32179.4,28196.9,136.8,"LINESTRING (598928.8109639742 2395183.0420877915, 599228.8109639742 2394883.0420877915, 599328.8109639742 2394883.0420877915)",126.5
91,0.966,67.754,32299.5,28267.7,124.4,"LINESTRING (605728.8109639742 2397983.0420877915, 605728.8109639742 2397583.0420877915, 605328.8109639742 2397183.0420877915)",123.7
92,1.049,68.803,32429.0,28390.3,123.5,"LINESTRING (601528.8109639742 2383883.0420877915, 601928.8109639742 2384283.0420877915, 602328.8109639742 2384483.0420877915)",129.8
93,1.066,69.868,32549.8,28496.2,113.4,"LINESTRING (598728.8109639742 2384483.0420877915, 598728.8109639742 2384883.0420877915, 599128.8109639742 2385383.0420877915)",104.3
94,0.383,70.251,32607.5,28547.5,150.7,"LINESTRING (599128.8109639742 2385383.0420877915, 599328.8109639742 2385583.0420877915, 599328.8109639742 2385683.0420877915)",95.5
95,1.1,71.351,32617.7,28557.5,9.3,"LINESTRING (592328.8109639742 2385783.0420877915, 591228.8109639742 2385783.0420877915)",102.4
96,1.1,72.451,32706.2,28643.8,80.4,"LINESTRING (591228.8109639742 2385783.0420877915, 590128.8109639742 2385783.0420877915)",146.3
97,1.1,73.551,32880.2,28817.4,158.2,"LINESTRING (590128.8109639742 2385783.0420877915, 589028.8109639742 2385783.0420877915)",172.3
98,0.5,74.051,33046.6,28975.0,332.8,"LINESTRING (589028.8109639742 2385783.0420877915, 588528.8109639742 2385783.0420877915)",197.4
99,0.707,74.758,33245.2,29162.7,280.8,"LINESTRING (588528.8109639742 2385783.0420877915, 588028.8109639742 2385283.0420877915)",229.7
100,1.1,75.858,33393.5,29288.2,134.8,"LINESTRING (588028.8109639742 2385283.0420877915, 586928.8109639742 2385283.0420877915)",261.6
101,1.1,76.958,33659.5,29518.3,241.8,"LINESTRING (586928.8109639742 2385283.0420877915, 585828.8109639742 2385283.0420877915)",223.1
102,0.5,77.458,33818.3,29650.6,317.6,"LINESTRING (585828.8109639742 2385283.0420877915, 585328.8109639742 2385283.0420877915)",191.1
103,0.524,77.983,33892.1,29699.2,140.7,"LINESTRING (588028.8109639742 2385283.0420877915, 588028.8109639742 2385183.0420877915, 588328.8109639742 2384883.0420877915)",191.1
104,1.107,79.09,34025.8,29762.0,120.8,"LINESTRING (588328.8109639742 2384883.0420877915, 588328.8109639742 2384483.0420877915, 588828.8109639742 2383983.0420877915)",167.1
105,0.483,79.572,34090.8,29784.0,134.6,"LINESTRING (588828.8109639742 2383983.0420877915, 588828.8109639742 2383783.0420877915, 589028.8109639742 2383583.0420877915)",125.3
106,0.5,80.072,34151.6,29844.8,121.7,"LINESTRING (608028.8109639742 2397783.0420877915, 608028.8109639742 2398283.0420877915)",120.5
107,1.09,81.162,34270.3,29958.7,108.9,"LINESTRING (603428.8109639742 2376883.0420877915, 603328.8109639742 2377083.0420877915, 603928.8109639742 2377683.0420877915)",117.6
108,0.524,81.687,34331.5,30017.1,116.7,"LINESTRING (603928.8109639742 2377683.0420877915, 604028.8109639742 2377683.0420877915, 604328.8109639742 2377983.0420877915)",120.9
109,0.741,82.428,34410.0,30052.3,105.9,"LINESTRING (605328.8109639742 2397183.0420877915, 605328.8109639742 2396583.0420877915, 605228.8109639742 2396483.0420877915)",117.6
110,0.624,83.052,34504.5,30141.8,151.3,"LINESTRING (602228.8109639742 2384383.0420877915, 602428.8109639742 2384383.0420877915, 602728.8109639742 2384083.0420877915)",113.7
111,0.483,83.535,34555.4,30166.2,105.3,"LINESTRING (607428.8109639742 2395783.0420877915, 607428.8109639742 2395583.0420877915, 607228.8109639742 2395383.0420877915)",127.2
112,1.124,84.66,34655.9,30252.5,89.4,"LINESTRING (598528.8109639742 2390383.0420877915, 598528.8109639742 2390283.0420877915, 598728.8109639742 2390083.0420877915, 599328.8109639742 2390083.0420877915, 599428.8109639742 2389983.0420877915)",126.4
113,0.441,85.101,34737.1,30330.1,184.0,"LINESTRING (599428.8109639742 2389983.0420877915, 599828.8109639742 2389883.0420877915)",116.1
114,0.424,85.525,34780.5,30368.6,102.2,"LINESTRING (596528.8109639742 2382683.0420877915, 596228.8109639742 2382983.0420877915)",134.7
115,0.5,86.025,34830.3,30416.6,99.7,"LINESTRING (585328.8109639742 2385283.0420877915, 584828.8109639742 2385283.0420877915)",136.6
116,0.341,86.367,34898.0,30479.3,198.2,"LINESTRING (603228.8109639742 2381483.0420877915, 603128.8109639742 2381783.0420877915)",119.0
