tmk_or_site,type,acres_total,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,owner,land_value_per_ac,viability_class,low_improvement_flag,notes,source
121060008,urban_parcel,20.7,13.5,19.9,2.42,2.42,CITY AND COUNTY OF HONOLULU,7152741.0,uncertain,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
122040014,urban_parcel,14.8,4.1,11.6,2.67,2.67,KAPIWAI,2928302.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
123008001,urban_parcel,14.0,14.0,14.0,2.35,2.35,CITY AND COUNTY OF HONOLULU,9824436.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
123009001,urban_parcel,46.3,46.3,46.3,2.49,2.49,S OF H DLNR,8389012.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
123016044,urban_parcel,10.5,10.5,10.5,2.84,3.31,WAL-MART KEEAUMOKU CONDOMINIUM,19740577.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
123037001,urban_parcel,74.0,74.1,74.1,2.96,3.0,CITY AND COUNTY OF HONOLULU,8633155.0,uncertain,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
123037012,urban_parcel,15.3,15.2,15.2,2.93,4.08,S OF H DOT HARBORS DIV,66093847.0,,True,owner suggests harbor; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
123037025,urban_parcel,34.2,34.0,34.2,3.32,3.81,CITY AND COUNTY OF HONOLULU,10600836.0,uncertain,True,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
123038014,urban_parcel,34.9,34.1,34.8,2.83,3.34,GGP ALA MOANA LLC,15860858.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
124032001,urban_parcel,20.3,10.6,16.5,2.42,2.42,STATE OF HAWAII,4759344.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
124033013,urban_parcel,23.5,19.6,22.1,2.2,2.2,STATE OF HAWAII,5118707.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
126002005,urban_parcel,10.4,10.2,10.2,2.6,5.6,DAISHO CO LTD,49435675.0,,False,urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
