tmk,tmk_txt,island,owner,ownedby,majorowner,type,gisacres
189002021,189002021,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.60605386
121001053,121001053,Oahu,S OF H DOT HARBORS DIV,"State of Hawaii, Department of Transportation",Govt. State,Public-State,0.01008833
189010086,189010086,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18242497
124042037,124042037,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.14773654
191119074,191119074,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11480852
194005045,194005045,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,7.25477726
125021033,125021033,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17076864
189005039,189005039,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.50511508
141037058,141037058,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.20593878
141016004,141016004,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.43250372
191119049,191119049,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11843683
185033122,185033122,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17433784
141017008,141017008,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.55700605
147012013,147012013,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,2.70096861
154001035,154001035,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.0829327
189009022,189009022,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.20176128
